ApsimVersion = 7.10 r32c72e495ed39966b5eaf17f9fbca83a93144f5b
format = csv
Title = Sorghum_Gatton_Tiller_x_Density_1 outputfileArea
DaysAfterSowing,CulmArea,lai,TPLA,LeafNo,deltaTT,radn
(days),(),(m2/m2),(m2),(leaves),(oCd),()
1,0.000000,0.000000,0.000000,0.000000,8.990000,25.370001
2,0.000000,0.000000,0.000000,0.000000,10.515000,23.090000
3,0.000000,0.000000,0.000000,0.000000,7.165000,6.080000
4,0.000000,0.000000,0.000000,0.000000,13.595000,19.490000
5,0.000000,0.000000,0.000000,1.000000,13.907399,27.709999
6,5678.195313,0.001899,9.497211,1.339205,13.907399,30.690001
7,7121.271973,0.002993,14.963675,1.678410,10.925000,26.030001
8,8268.888672,0.003594,17.969407,1.944873,9.250000,9.140000
9,9241.178711,0.005486,27.432384,2.170483,12.782602,24.080000
10,10589.391602,0.007444,37.221408,2.482254,9.510000,16.379999
11,12071.065430,0.010404,52.020216,2.714205,7.950000,28.440001
12,13309.631836,0.012879,64.392682,2.908107,6.930000,29.760000
13,14388.136719,0.015036,75.177736,3.077132,7.440980,30.580000
14,15546.165039,0.017352,86.758021,3.258619,10.460000,25.549999
15,17275.496094,0.020810,104.051333,3.513741,10.999212,27.870001
16,19793.970703,0.025847,129.236073,3.782014,11.934810,29.219999
17,22526.667969,0.031313,156.563037,4.073107,11.329855,24.010000
18,25120.847656,0.036501,182.504845,4.349445,13.750000,13.010000
19,29131.554688,0.044522,222.611912,4.684811,10.435000,14.240000
20,32592.503906,0.051444,257.221414,4.939323,10.020000,22.879999
21,35915.812500,6695.387207,6695.387207,0.058091,290.454495,5.183714,10.470000,8.500000
22,39388.371094,7733.737305,7733.737305,0.067190,335.950354,5.439079,9.210000,8.210000
23,43477.914063,8647.127930,8647.127930,0.079023,395.113614,5.663714,13.615000,26.900000
24,49864.187500,10664.733398,10664.733398,0.099866,499.328425,5.995787,13.232543,27.770000
25,56071.062500,12625.662109,12625.662109,9032.454102,0.120123,600.615756,6.318532,12.540934,27.540001
26,62979.039063,14484.101563,14484.101563,10736.338867,0.144781,723.903164,6.624408,11.490000,23.320000
27,70358.695313,16891.753906,16891.753906,12603.968750,0.172906,864.529078,6.904652,10.050000,18.690001
28,76813.484375,19098.253906,19098.253906,14677.460938,10658.997070,0.198788,993.941894,7.149774,8.145000,27.110001
29,82044.757813,20886.505859,20886.505859,16357.917969,11997.562500,0.222442,1112.209892,7.348433,8.050000,25.740000
30,87751.687500,22653.900391,22653.900391,18018.775391,13320.516602,0.246893,1234.465181,7.544774,8.960000,27.690001
31,95317.046875,25027.390625,25027.390625,19867.380859,15291.999023,0.279158,1395.789473,7.763311,12.349468,20.309999
32,105744.304688,28967.501953,28967.501953,23539.714844,18447.035156,12555.094727,0.329428,1647.137933,8.064517,12.055381,29.270000
33,115923.242188,32813.785156,32813.785156,27269.943359,21526.939453,14968.177734,0.383617,1918.085160,8.358551,12.643015,14.240000
34,128226.742188,36864.734375,36864.734375,31182.000000,24960.695313,18103.171875,0.445389,2226.947252,8.666917,10.139999,17.830000
35,138943.031250,41426.457031,41426.457031,34995.546875,28907.750000,21353.861328,0.507091,2535.457478,8.914234,10.335001,26.860001
36,149865.390625,46075.906250,46075.906250,39666.179688,32930.710938,24667.064453,10478.663086,0.571548,2857.738043,9.166307,8.950000,27.240000
37,159324.046875,50102.281250,50102.281250,43710.894531,36414.550781,27536.261719,12035.247070,0.628592,3142.959538,9.384600,12.320000,21.780001
38,173959.281250,55784.078125,55784.078125,49278.589844,41621.410156,32500.275391,14359.577148,0.713897,3569.486924,9.685088,11.120000,28.389999
39,187847.093750,62554.882813,62554.882813,55480.644531,47966.304688,38022.449219,17563.869141,0.807418,4037.091171,9.956307,12.297176,33.730000
40,203205.093750,70042.453125,70042.453125,63274.867188,54982.878906,44129.203125,21107.371094,0.912711,4563.552672,10.256238,9.255000,25.610001
41,214774.437500,75677.687500,75677.687500,69140.890625,60263.632813,48725.218750,23774.253906,0.991976,4959.881172,10.481970,10.195000,30.990000
42,228862.062500,82361.656250,82361.656250,75602.703125,66987.398438,55533.976563,27277.330078,1.089635,5448.175627,10.730629,11.060130,32.169998
43,244145.125000,91016.500000,91016.500000,84333.351563,75723.218750,63557.066406,32272.958984,1.209734,6048.671866,11.000388,10.988563,29.190001
44,259329.312500,99615.335938,99615.335938,93582.531250,84402.507813,71528.242188,37236.261719,1.330207,6651.032667,11.268402,12.951140,25.650000
45,277386.437500,109749.937500,109749.937500,104483.617188,94631.929688,81328.734375,43086.019531,1.473329,7366.643066,11.584283,12.873182,29.620001
46,295659.687500,121382.921875,121382.921875,116144.765625,107262.171875,93869.937500,50904.996094,1.636231,8181.152890,11.898263,13.131765,29.240000
47,314299.968750,133788.281250,133788.281250,129849.531250,120571.703125,106663.062500,59384.371094,1.809426,9047.129652,12.218550,14.417970,23.260000
48,334481.437500,147408.687500,147408.687500,144896.640625,135184.859375,120918.351563,68694.273438,1.999434,9997.171012,12.570208,12.875000,28.850000
49,351766.593750,160611.812500,160611.812500,158852.343750,150006.609375,136017.625000,78626.070313,2.182393,10911.964854,12.884232,13.195000,24.059999
50,369481.375000,174595.203125,174595.203125,174571.765625,165621.984375,151492.156250,89335.171875,2.375809,11879.046897,13.206062,12.880000,19.450001
51,386471.187500,188244.750000,188244.750000,189915.937500,180864.578125,166597.296875,99788.609375,2.557732,12788.661289,13.520208,12.040000,24.309999
52,400429.312500,201207.796875,201207.796875,204286.546875,195496.296875,181391.062500,109924.476563,2.725093,13625.464468,13.813866,11.934999,20.740000
53,428793.906250,214250.765625,214250.765625,219020.531250,210226.515625,196116.093750,120243.625000,2.913537,14567.686747,14.410616,13.444920,29.040001
54,454495.187500,228943.812500,228943.812500,235618.546875,226820.265625,212704.015625,131868.265625,3.113319,15566.593783,15.082862,12.458150,26.570000
55,471910.343750,242354.828125,242354.828125,250998.359375,241732.593750,227066.718750,142224.343750,3.291695,16458.475795,15.705770,13.631742,28.770000
56,471910.343750,256324.812500,256324.812500,266835.093750,257116.125000,242142.093750,152483.437500,3.479523,17397.613437,16.387357,13.654548,26.180000
