ApsimVersion = 7.10 r32c72e495ed39966b5eaf17f9fbca83a93144f5b
Title = Sorghum_Gatton_Tiller_x_Density_1 outputfile_daily
           date DaysAfterSowing         Leafno            lai        tillers   tillersAdded      linearLAI calculatedTillers         Supply         Demand       sw_dep()            SLA         maxSLA     ll15_dep()      dul_dep()        WaterSD        Biomass          yield        GrainNo          stage     biomass_wt   GrainGreenWt  RachisGreenWt    StemGreenWt      GrainSize LeafSenescedWt TillerNoFertile           TPLA           SPLA        DeltaTT    LeafGreenWt       DeltaLAI  DeltaGreenN()            lai           slai           GPLA         reeves
   (dd/mm/yyyy)          (days)       (leaves)        (m2/m2)             ()             ()             ()                ()             ()             ()           (mm)        (cm2/g)        (cm2/g)           (mm)           (mm)             ()        (kg/ha)        (kg/ha)   (grains/m^2)             ()         (g/m2)        (g/m^2)        (g/m^2)        (g/m^2)  (g/1000grain)        (g/m^2) (tillers/plant)           (m2)           (m2)          (oCd)        (g/m^2)        (m2/m2)        (g/m^2)        (m2/m2)        (m2/m2)           (m2)             ()
     23/10/1998               1          0.000          0.000          0.000          0.000          0.000             0.000          0.000          0.000        748.105          0.000          0.000        486.000        753.000          1.000            0.0            0.0          0.000          1.999          0.000           0.00           0.00           0.00          0.000           0.00           0.000          0.000          0.000          8.990           0.00          0.000           0.00          0.000          0.000          0.000        400.000
     24/10/1998               2          0.000          0.000          0.000          0.000          0.000             0.000          0.000          0.000        744.896          0.000          0.000        486.000        753.000          1.000            0.0            0.0          0.000          2.000          0.000           0.00           0.00           0.00          0.000           0.00           0.000          0.000          0.000         10.515           0.00          0.000           0.00          0.000          0.000          0.000        400.000
     25/10/1998               3          0.000          0.000          0.000          0.000          0.000             0.000          0.000          0.000        743.769          0.000          0.000        486.000        753.000          1.000            0.0            0.0          0.000          2.535          0.000           0.00           0.00           0.00          0.000           0.00           0.000          0.000          0.000          7.165           0.00          0.000           0.00          0.000          0.000          0.000        400.000
     26/10/1998               4          0.000          0.000          0.000          0.000          0.000             0.000          0.000          0.000        751.437          0.000          0.000        486.000        753.000          1.000            0.0            0.0          0.000          2.947          0.000           0.00           0.00           0.00          0.000           0.00           0.000          0.000          0.000         13.595           0.00          0.000           0.00          0.000          0.000          0.000        400.000
     27/10/1998               5          1.000          0.000          0.000          0.000          0.000             0.000          0.000          0.000        747.113         20.000          0.000        486.000        753.000          1.000            4.0            0.0          0.000          3.000          0.400           0.00           0.00           0.20          0.000           0.00           0.000          0.000          0.000         13.907           0.20          0.000           0.00          0.000          0.000          0.000        400.000
     28/10/1998               6          1.339          0.002          0.000          0.000          0.000             0.000          0.000          0.000        745.293         94.972          0.000        486.000        753.000          1.000            4.0            0.0          0.000          3.261          0.400           0.00           0.00           0.20          0.000           0.00           0.000          9.497          0.000         13.907           0.20          0.002           0.00          0.002          0.000          0.000        400.000
     29/10/1998               7          1.678          0.003          0.000          0.000          0.000             0.000          0.000          0.000        744.041        133.428          0.000        486.000        753.000          1.000            4.2            0.0          0.000          3.370          0.425           0.00           0.00           0.20          0.000           0.00           0.000         14.964          0.000         10.925           0.22          0.001           0.00          0.003          0.000          0.000        400.000
     30/10/1998               8          1.945          0.004          0.000          0.000          0.000             0.000          0.000          0.000        746.429        151.223          0.000        486.000        753.000          1.000            4.4            0.0          0.000          3.463          0.438           0.00           0.00           0.20          0.000           0.00           0.000         17.969          0.000          9.250           0.24          0.001           0.00          0.004          0.000          0.000        399.243
     31/10/1998               9          2.170          0.005          0.000          0.000          0.000             0.000          0.000          0.000        746.991        196.147          0.000        486.000        753.000          1.000            4.8            0.0          0.000          3.590          0.481           0.00           0.00           0.20          0.000           0.00           0.000         27.432          0.000         12.783           0.28          0.002           0.00          0.005          0.000          0.000        394.405
     01/11/1998              10          2.482          0.007          0.000          0.000          0.000             0.000          0.000          0.000        744.716        230.317          0.000        486.000        753.000          1.000            5.3            0.0          0.000          3.685          0.526           0.00           0.00           0.20          0.000           0.00           0.000         37.221          0.000          9.510           0.32          0.002           0.00          0.007          0.000          0.000        390.308
     02/11/1998              11          2.714          0.010          0.000          0.000          0.000             0.000          0.000          0.000        743.569        249.958          0.000        486.000        753.000          1.000            6.2            0.0          0.000          3.765          0.622           0.00           0.00           0.21          0.000           0.00           0.000         52.020          0.000          7.950           0.42          0.003           0.00          0.010          0.000          0.000        384.647
     03/11/1998              12          2.908          0.013          0.000          0.000          0.000             0.000          0.000          0.000        742.598        239.084          0.000        486.000        753.000          1.000            7.5            0.0          0.000          3.834          0.750           0.00           0.00           0.21          0.000           0.00           0.000         64.393          0.000          6.930           0.54          0.002           0.00          0.013          0.000          0.000        380.435
     04/11/1998              13          3.077          0.015          0.000          0.000          0.000             0.000          0.000          0.000        741.726        216.347          0.000        486.000        753.000          1.000            9.1            0.0          0.000          3.909          0.914           0.00           0.00           0.22          0.000           0.00           0.000         75.178          0.000          7.441           0.69          0.002           0.01          0.015          0.000          0.000        376.915
     05/11/1998              14          3.259          0.017          0.000          0.000          0.000             0.000          0.000          0.000        740.932        198.149          0.000        486.000        753.000          1.000           11.1            0.0          0.000          4.000          1.105           0.00           0.00           0.23          0.000           0.00           0.000         86.758          0.000         10.460           0.88          0.002           0.01          0.017          0.000          0.000        373.845
     06/11/1998              15          3.514          0.021          0.000          0.000          0.000             0.000          0.000          0.000        740.183        188.911          0.000        486.000        753.000          1.000           13.5            0.0          0.000          4.067          1.346           0.00           0.00           0.24          0.000           0.00           0.000        104.051          0.000         10.999           1.10          0.003           0.01          0.021          0.000          0.000        370.550
     07/11/1998              16          3.782          0.026          0.000          0.000          0.000             0.000          0.000          0.000        739.473        186.931          0.000        486.000        753.000          1.000           16.5            0.0          0.000          4.133          1.648           0.00           0.00           0.26          0.000           0.00           0.000        129.236          0.000         11.935           1.38          0.005           0.01          0.026          0.000          0.000        365.917
     08/11/1998              17          4.073          0.031          0.000          0.000          0.000             0.000          0.000          0.000        738.788        187.924          0.000        486.000        753.000          1.000           19.6            0.0          0.000          4.194          1.956           0.00           0.00           0.29          0.000           0.00           0.000        156.563          0.000         11.330           1.67          0.005           0.01          0.031          0.000          0.000        361.046
     09/11/1998              18          4.349          0.037          0.000          0.000          0.016             0.000          0.000          0.000        738.191        197.321          0.000        486.000        753.000          1.000           21.6            0.0          0.000          4.270          2.157           0.00           0.00           0.31          0.000           0.00           0.000        182.505          0.000         13.750           1.85          0.005           0.01          0.037          0.000          0.000        355.761
     10/11/1998              19          4.685          0.045          0.000          0.000          0.018             0.000          0.000          0.000        737.616        213.980          0.000        486.000        753.000          1.000           24.1            0.0          0.000          4.327          2.414           0.00           0.00           0.33          0.000           0.00           0.000        222.612          0.000         10.435           2.08          0.008           0.01          0.045          0.000          0.000        350.743
     11/11/1998              20          4.939          0.051          0.000          0.000          0.022             0.000          0.000          0.000        736.975        203.778          0.000        486.000        753.000          1.000           29.2            0.0          0.000          4.381          2.917           0.00           0.00           0.39          0.000           0.00           0.000        257.221          0.000         10.020           2.52          0.007           0.02          0.051          0.000          0.000        344.653
     12/11/1998              21          5.184          0.058          0.000          0.000          0.026             0.000          0.000          0.000        736.460        214.138          0.000        486.000        753.000          1.000           31.3            0.0          0.000          4.439          3.133           0.00           0.00           0.42          0.000           0.00           0.000        290.454          0.000         10.470           2.71          0.007           0.01          0.058          0.000          0.000        340.032
     13/11/1998              22          5.439          0.065          0.000          0.000          0.029             0.000          0.000          0.000        736.639        223.110          0.000        486.000        753.000          1.000           33.7            0.0          0.000          4.489          3.367           0.00           0.00           0.45          0.000           0.00           0.000        325.180          0.000          9.210           2.91          0.007           0.01          0.065          0.000          0.000        335.594
     14/11/1998              23          5.664          0.073          0.000          0.000          0.033             0.000          0.000          0.000        765.640        200.878          0.000        486.000        753.000          1.000           42.3            0.0          0.000          4.563          4.227           0.00           0.00           0.58          0.000           0.00           0.000        366.076          0.000         13.615           3.64          0.008           0.02          0.073          0.000          0.000        330.957
     15/11/1998              24          5.996          0.086          0.000          0.000          0.037             0.000          0.000          0.000        760.968        191.853          0.000        486.000        753.000          1.000           52.2            0.0          0.000          4.636          5.225           0.00           0.00           0.74          0.000           0.00           0.000        429.938          0.000         13.233           4.48          0.013           0.02          0.086          0.000          0.000        326.878
     16/11/1998              25          6.319          0.098          2.000          1.000          0.043             6.697     423551.794      19952.209        757.940        181.011        283.489        486.000        753.000          1.000           63.9            0.0          0.000          4.704          6.385           0.00           0.00           0.95          0.000           0.00           0.000        492.007          0.000         12.541           5.44          0.012           0.02          0.098          0.000          0.000        320.849
     17/11/1998              26          6.624          0.118          2.000          2.000          0.049             6.697     423551.794      19952.209        755.060        186.257        278.491        486.000        753.000          1.000           75.1            0.0          0.000          4.767          7.507           0.00           0.00           1.17          0.000           0.00           0.000        590.563          0.000         11.490           6.34          0.020           0.03          0.118          0.000          0.000        314.988
     18/11/1998              27          6.905          0.139          2.000          2.000          0.059             6.697     423551.794      19952.209        752.436        193.710        273.911        486.000        753.000          1.000           85.8            0.0          0.000          4.822          8.581           0.00           0.00           1.39          0.000           0.00           0.000        696.564          0.000         10.050           7.19          0.021           0.03          0.139          0.000          0.000        309.434
     19/11/1998              28          7.150          0.159          3.000          2.000          0.070             6.697     423551.794      19952.209        755.952        187.066        269.905        486.000        753.000          1.000          102.9            0.0          0.000          4.866         10.287           0.00           0.00           1.77          0.000           0.00           0.000        796.739          0.000          8.145           8.52          0.020           0.03          0.159          0.000          0.000        304.345
     20/11/1998              29          7.348          0.178          3.000          3.000          0.080             6.697     423551.794      19952.209        752.000        179.730        266.658        486.000        753.000          1.000          121.2            0.0          0.000          4.910         12.117           0.00           0.00           2.20          0.000           0.00           0.000        891.312          0.000          8.050           9.92          0.019           0.04          0.178          0.000          0.000        299.894
     21/11/1998              30          7.545          0.198          3.000          3.000          0.089             6.697     423551.794      19952.209        749.553        169.091        263.450        486.000        753.000          1.000          144.9            0.0          0.000          4.959         14.491           0.00           0.00           2.78          0.000           0.00           0.000        990.149          0.000          8.960          11.71          0.020           0.05          0.198          0.000          0.000        296.287
     22/11/1998              31          7.763          0.223          3.000          3.000          0.099             6.697     423551.794      19952.209        747.589        169.950        259.878        486.000        753.000          1.000          164.2            0.0          0.000          5.000         16.419           0.00           0.15           3.12          0.000           0.00           0.000       1117.281          0.000         12.349          13.15          0.025           0.04          0.223          0.000          0.000        292.722
     23/11/1998              32          8.065          0.263          4.000          3.000          0.112             6.697     423551.794      19952.209        758.928        170.468        254.956        486.000        753.000          1.000          195.4            0.0          0.000          5.056         19.537           0.00           0.40           3.70          0.000           0.00           0.000       1315.911          0.000         12.055          15.44          0.040           0.07          0.263          0.000          0.000        288.754
     24/11/1998              33          8.359          0.307          4.000          4.000          0.132             6.697     423551.794      19952.209        756.321        183.844        250.151        486.000        753.000          1.000          213.1            0.0          0.000          5.097         21.310           0.00           0.55           4.05          0.000           0.00           0.000       1536.400          0.000         12.643          16.71          0.044           0.06          0.307          0.000          0.000        283.285
     25/11/1998              34          8.667          0.358          4.000          4.000          0.154             6.697     423551.794      19952.209        794.567        193.487        245.112        486.000        753.000          1.000          238.8            0.0          0.000          5.131         23.878           0.00           0.77           4.58          0.000           0.00           0.000       1792.001          0.000         10.140          18.52          0.051           0.07          0.358          0.000          0.000        277.945
     26/11/1998              35          8.914          0.407          4.000          4.000          0.179             6.697     423551.794      19952.209        792.680        188.551        241.070        486.000        753.000          1.000          283.4            0.0          0.000          5.165         28.340           0.00           1.19           5.55          0.000           0.00           0.000       2036.260          0.000         10.335          21.60          0.049           0.09          0.407          0.000          0.000        272.346
     27/11/1998              36          9.166          0.460          5.000          4.000          0.204             6.697     423551.794      19952.209        781.355        183.519        236.950        486.000        753.000          1.000          334.4            0.0          0.000          5.194         33.435           0.00           1.68           6.70          0.000           0.00           0.000       2298.525          0.000          8.950          25.05          0.052           0.11          0.460          0.000          0.000        267.855
     28/11/1998              37          9.385          0.508          5.000          5.000          0.230             6.697     423551.794      19952.209        771.603        181.014        233.383        486.000        753.000          1.000          379.9            0.0          0.000          5.235         37.990           0.00           2.14           7.77          0.000           0.00           0.000       2541.210          0.000         12.320          28.08          0.049           0.10          0.508          0.000          0.000        263.278
     29/11/1998              38          9.685          0.582          5.000          5.000          0.254             6.697     423551.794      19952.209        785.357        179.846        228.472        486.000        753.000          1.000          444.9            0.0          0.000          5.272         44.494           0.00           2.81           9.35          0.000           0.00           0.000       2907.498          0.000         11.120          32.33          0.073           0.12          0.582          0.000          0.000        259.314
     30/11/1998              39          9.956          0.661          5.000          5.000          0.291             6.697     423551.794      19952.209        773.800        174.260        224.040        486.000        753.000          1.000          532.1            0.0          0.000          5.312         53.209           0.00           3.76          11.54          0.000           0.00           0.000       3303.052          0.000         12.297          37.91          0.079           0.18          0.661          0.000          0.000        253.858
     01/12/1998              40         10.256          0.751          5.000          5.000          0.330             6.697     423551.794      19952.209        765.463        176.555        219.139        486.000        753.000          1.000          606.2            0.0          0.000          5.343         60.616           0.00           4.58          13.48          0.000           0.00           0.000       3756.564          0.000          9.255          42.55          0.091           0.16          0.751          0.000          0.000        248.933
     02/12/1998              41         10.482          0.820          5.000          5.000          0.376             6.697     423551.794      19952.209        758.073        168.313        215.450        486.000        753.000          1.000          706.3            0.0          0.000          5.376         70.632           0.00           5.75          16.19          0.000           0.00           0.000       4097.990          0.000         10.195          48.69          0.068           0.17          0.820          0.000          0.000        243.487
     03/12/1998              42         10.731          0.904          5.000          5.000          0.410             6.697     423551.794      19952.209        750.544        163.031        211.386        486.000        753.000          1.000          818.3            0.0          0.000          5.413         81.834           0.00           7.08          19.31          0.000           0.00           0.000       4519.705          0.000         11.060          55.45          0.084           0.22          0.904          0.000          0.000        239.388
     04/12/1998              43         11.000          1.008          5.000          5.000          0.452             6.697     423551.794      19952.209        743.311        162.660        206.977        486.000        753.000          1.000          928.7            0.0          0.000          5.449         92.871           0.00           8.44          22.46          0.000           0.00           0.000       5040.305          0.000         10.989          61.97          0.104           0.24          1.008          0.000          0.000        234.873
     05/12/1998              44         11.268          1.114          5.000          5.000          0.504             6.697     423551.794      19952.209        738.362        163.468        202.598        486.000        753.000          1.000         1034.8            0.0          0.000          5.491        103.480           0.00           9.77          25.59          0.000           0.00           0.000       5567.684          0.000         12.951          68.12          0.105           0.19          1.114          0.000          0.000        229.975
     06/12/1998              45         11.584          1.239          5.000          5.000          0.557             6.697     423551.794      19952.209        733.747        163.779        197.435        486.000        753.000          1.000         1167.5            0.0          0.000          5.534        116.747           0.00          11.50          29.60          0.000           0.00           0.000       6194.920          0.000         12.873          75.65          0.125           0.24          1.239          0.000          0.000        225.108
     07/12/1998              46         11.898          1.382          5.000          5.000          0.619             6.697     423551.794      19952.209        729.004        165.428        192.304        486.000        753.000          1.000         1309.8            0.0          0.000          5.577        130.984           0.00          13.40          34.05          0.000           0.00           0.000       6909.651          0.000         13.132          83.54          0.143           0.29          1.382          0.000          0.000        219.373
     08/12/1998              47         12.219          1.536          5.000          5.000          0.691             6.697     423551.794      19952.209        725.970        170.344        187.070        486.000        753.000          1.000         1432.9            0.0          0.000          5.624        143.290           0.00          15.10          38.00          0.000           0.00           0.000       7681.682          0.000         14.418          90.19          0.154           0.26          1.536          0.000          0.000        213.671
     09/12/1998              48         12.570          1.706          5.000          5.000          0.768             6.697     423551.794      19952.209        722.061        172.482        181.323        486.000        753.000          1.000         1597.9            0.0          0.000          5.667        159.786           0.00          17.43          43.46          0.000           0.00           0.000       8528.575          0.000         12.875          98.89          0.169           0.34          1.706          0.000          0.000        207.856
