ApsimVersion = 7.10 r32c72e495ed39966b5eaf17f9fbca83a93144f5b
format = csv
Title = Sorghum_Gatton_Tiller_x_Density_2 outputfileLeaf
DaysAfterSowing,LeafApp
(days),()
1,1.000000
2,1.000000
3,1.000000
4,1.000000
5,1.000000
6,1.339205
7,1.678410
8,1.944873
9,2.170483
10,2.482254
11,2.714205
12,2.908107
13,3.077132
14,3.258619
15,3.513741
16,3.782014
17,4.073107
18,4.349445
19,4.684811
20,4.939323
21,5.183713,1.000000,1.000000
22,5.439079,1.255366,1.255366
23,5.663713,1.480000,1.480000
24,5.995787,1.812073,1.812073
25,6.318532,2.134818,2.134818,1.000000
26,6.624408,2.440695,2.440695,1.305876
27,6.904652,2.720938,2.720938,1.586120
28,7.149774,2.966060,2.966060,1.831242,1.000000
29,7.348433,3.164719,3.164719,2.029901,1.198659
30,7.544774,3.361060,3.361060,2.226242,1.395000
31,7.763310,3.579597,3.579597,2.444779,1.613537
32,8.064517,3.880804,3.880804,2.745986,1.914743,1.000000
33,8.358551,4.174837,4.174837,3.040019,2.208777,1.294034
34,8.666917,4.483203,4.483203,3.348385,2.517143,1.602400
35,8.914234,4.730521,4.730521,3.595702,2.764460,1.849717
36,9.166307,4.982594,4.982594,3.847775,3.016533,2.101790
37,9.384600,5.200886,5.200886,4.066068,3.234826,2.320083
38,9.685088,5.501374,5.501374,4.366556,3.535314,2.620571
39,9.956307,5.772593,5.772593,4.637775,3.806533,2.891790
40,10.256238,6.072525,6.072525,4.937706,4.106464,3.191721
41,10.481970,6.298256,6.298256,5.163438,4.332196,3.417453
42,10.730629,6.546915,6.546915,5.412097,4.580854,3.666111
43,11.000388,6.816674,6.816674,5.681856,4.850614,3.935871
44,11.268402,7.084688,7.084688,5.949870,5.118628,4.203885
45,11.584283,7.400569,7.400569,6.265751,5.434509,4.519766
46,11.898263,7.714550,7.714550,6.579731,5.748489,4.833746
47,12.218550,8.034837,8.034837,6.900018,6.068776,5.154033
48,12.570208,8.386495,8.386495,7.251676,6.420434,5.505691
49,12.884233,8.700519,8.700519,7.565701,6.734458,5.819715
50,13.206061,9.022348,9.022348,7.887530,7.056288,6.141544
51,13.520208,9.336494,9.336494,8.201676,7.370434,6.455691
52,13.813867,9.630153,9.630153,8.495335,7.664093,6.749349
53,14.410617,9.921250,9.921250,8.786432,7.955190,7.040447
54,15.082863,10.249175,10.249175,9.114357,8.283114,7.368372
55,15.705770,10.553033,10.553033,9.418215,8.586972,7.672229
56,16.387358,10.885514,10.885514,9.750696,8.919454,8.004710
57,17.070084,11.218552,11.218552,10.083734,9.252491,8.337749
58,17.101852,11.601469,11.601469,10.466651,9.635408,8.720665
59,17.101852,11.943178,11.943178,10.808360,9.977118,9.062374
60,17.101852,12.286849,12.286849,11.152031,10.320789,9.406046
61,17.101852,12.658051,12.658051,11.523233,10.691992,9.777248
62,17.101852,13.338801,13.338801,11.855307,11.372742,10.457998
63,17.101852,13.877802,13.877802,12.394307,11.911741,10.996998
64,17.101852,14.524802,14.524802,13.041306,12.558742,11.643998
65,17.101852,15.148907,15.148907,13.665412,13.182846,12.268104
66,17.101852,15.793083,15.793083,14.309588,13.827023,12.912280
67,17.101852,16.101852,16.101852,14.874517,14.101851,13.101851
68,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
69,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
70,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
71,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
72,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
73,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
74,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
75,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
76,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
77,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
78,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
79,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
80,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
81,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
82,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
83,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
84,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
85,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
86,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
87,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
88,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
89,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
90,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
91,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
92,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
93,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
94,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
95,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
96,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
97,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
98,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
99,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
100,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
101,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
102,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
103,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
104,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
105,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
106,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
107,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
108,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
109,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
110,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
111,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
112,17.101852,16.101852,16.101852,15.101851,14.101851,13.101851
